2020-06-10 10:13:44.453 | DEBUG    | __main__:<module>:1 - ╚═════╝░╚═╝░░░╚═╝░░░░░░╚═╝░░░╚══════╝╚═╝░░╚══╝╚═════╝░░╚════╝░╚═╝░░╚═╝
2020-06-10 10:13:44.520 | DEBUG    | __main__:<module>:1 - identity: ztfeabc
2020-06-10 10:13:44.586 | DEBUG    | __main__:<module>:1 - remote: false
2020-06-10 10:13:44.646 | DEBUG    | __main__:<module>:1 - eosurl: http://172.17.0.1:8888
2020-06-10 10:13:44.707 | DEBUG    | __main__:<module>:1 - port: 15037
2020-06-10 10:13:44.769 | DEBUG    | __main__:<module>:1 - server_address: 172.17.0.1
2020-06-10 10:13:44.829 | DEBUG    | __main__:<module>:1 - bind_address: 0.0.0.0
2020-06-10 10:13:44.891 | DEBUG    | __main__:<module>:1 - logdir: data/ztfeabc/logs
2020-06-10 10:13:44.951 | DEBUG    | __main__:<module>:1 - neuron: template
2020-06-10 10:13:45.012 | DEBUG    | __main__:<module>:1 - upnpc: false
2020-06-10 10:13:45.071 | DEBUG    | __main__:<module>:1 - === run locally. ===
2020-06-10 10:13:45.134 | DEBUG    | __main__:<module>:1 - === building bittensor image. ===
2020-06-10 10:13:50.946 | DEBUG    | __main__:<module>:1 - Run command: ./scripts/bittensor.sh ztfeabc 172.17.0.1 0.0.0.0 15037 http://172.17.0.1:8888 data/ztfeabc/logs template
2020-06-10 10:13:51.011 | DEBUG    | __main__:<module>:1 - === run the docker container locally ===
2020-06-10 10:13:51.071 | DEBUG    | __main__:<module>:1 - === container image: template:latest ===
2020-06-10 10:13:51.157 | DEBUG    | __main__:<module>:1 - === stop bittensor_container ===
2020-06-10 10:13:51.242 | DEBUG    | __main__:<module>:1 - === stop bittensor_container ===
2020-06-10 10:15:38.243 | DEBUG    | __main__:<module>:1 - ██████╗░██╗████████╗████████╗███████╗███╗░░██╗░██████╗░█████╗░██████╗░
2020-06-10 10:15:38.316 | DEBUG    | __main__:<module>:1 - ██╔══██╗██║╚══██╔══╝╚══██╔══╝██╔════╝████╗░██║██╔════╝██╔══██╗██╔══██╗
2020-06-10 10:15:38.392 | DEBUG    | __main__:<module>:1 - ██████╦╝██║░░░██║░░░░░░██║░░░█████╗░░██╔██╗██║╚█████╗░██║░░██║██████╔╝
2020-06-10 10:15:38.471 | DEBUG    | __main__:<module>:1 - ██╔══██╗██║░░░██║░░░░░░██║░░░██╔══╝░░██║╚████║░╚═══██╗██║░░██║██╔══██╗
2020-06-10 10:15:38.542 | DEBUG    | __main__:<module>:1 - ██████╦╝██║░░░██║░░░░░░██║░░░███████╗██║░╚███║██████╔╝╚█████╔╝██║░░██║
2020-06-10 10:15:38.605 | DEBUG    | __main__:<module>:1 - ╚═════╝░╚═╝░░░╚═╝░░░░░░╚═╝░░░╚══════╝╚═╝░░╚══╝╚═════╝░░╚════╝░╚═╝░░╚═╝
2020-06-10 10:15:38.668 | DEBUG    | __main__:<module>:1 - identity: mehuqtg
2020-06-10 10:15:38.731 | DEBUG    | __main__:<module>:1 - remote: false
2020-06-10 10:15:38.794 | DEBUG    | __main__:<module>:1 - eosurl: http://172.17.0.1:8888
2020-06-10 10:15:38.859 | DEBUG    | __main__:<module>:1 - port: 10408
2020-06-10 10:15:38.925 | DEBUG    | __main__:<module>:1 - server_address: 172.17.0.1
2020-06-10 10:15:38.985 | DEBUG    | __main__:<module>:1 - bind_address: 0.0.0.0
2020-06-10 10:15:39.046 | DEBUG    | __main__:<module>:1 - logdir: data/mehuqtg/logs
2020-06-10 10:15:39.107 | DEBUG    | __main__:<module>:1 - neuron: template
2020-06-10 10:15:39.171 | DEBUG    | __main__:<module>:1 - upnpc: false
2020-06-10 10:15:39.236 | DEBUG    | __main__:<module>:1 - === run locally. ===
2020-06-10 10:15:39.300 | DEBUG    | __main__:<module>:1 - === building bittensor image. ===
2020-06-10 10:15:44.799 | DEBUG    | __main__:<module>:1 - Run command: ./scripts/bittensor.sh mehuqtg 172.17.0.1 0.0.0.0 10408 http://172.17.0.1:8888 data/mehuqtg/logs template
2020-06-10 10:15:44.860 | DEBUG    | __main__:<module>:1 - === run the docker container locally ===
2020-06-10 10:15:44.918 | DEBUG    | __main__:<module>:1 - === container image: template:latest ===
2020-06-10 10:15:45.005 | DEBUG    | __main__:<module>:1 - === stop bittensor_container ===
2020-06-10 10:15:45.086 | DEBUG    | __main__:<module>:1 - === stop bittensor_container ===
2020-06-10 10:18:54.081 | DEBUG    | __main__:<module>:1 - ██████╗░██╗████████╗████████╗███████╗███╗░░██╗░██████╗░█████╗░██████╗░
2020-06-10 10:18:54.140 | DEBUG    | __main__:<module>:1 - ██╔══██╗██║╚══██╔══╝╚══██╔══╝██╔════╝████╗░██║██╔════╝██╔══██╗██╔══██╗
